ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,ANIO,MES
108879,CAMPO_DE_MARTE,2018-02-02,190000,-77.0432,-12.0705,117,23.73,10.3,4.2,LIMA,LIMA,JESUS_MARIA,150113,20240430,2018,2
355454,SAN_JUAN_DE_LURIGANCHO,2018-03-24,180000,-76.9992,-11.9816,240,NA,24.1,16.5,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2018,3
423307,SAN_MARTIN_DE_PORRES,2016-08-20,230000,-77.0845,-12.0089,56,58.21,16.7,37.8,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2016,8
185872,SANTA_ANITA,2017-07-17,200000,-76.9714,-12.043,253,72.73,30.8,30.3,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,7
122001,CAMPO_DE_MARTE,2019-08-03,130000,-77.0432,-12.0705,117,38.27,36.34,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,8
183793,SANTA_ANITA,2017-04-22,050000,-76.9714,-12.043,253,120.8,50.5,12.1,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,4
145264,CAMPO_DE_MARTE,2022-03-29,200000,-77.0432,-12.0705,117,21.62,11.8,13.4,LIMA,LIMA,JESUS_MARIA,150113,20240430,2022,3
492504,CARABAYLLO,2015-03-15,040000,-77.0336,-11.9022,179,77.98,28.8,3.1,LIMA,LIMA,CARABAYLLO,150106,20240430,2015,3
519551,CARABAYLLO,2018-04-15,030000,-77.0336,-11.9022,179,150.4,33,40.8,LIMA,LIMA,CARABAYLLO,150106,20240430,2018,4
187395,SANTA_ANITA,2017-09-19,070000,-76.9714,-12.043,253,NA,36.1,16.1,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,9
258677,VILLA_MARIA_DEL_TRIUNFO,2016-07-08,090000,-76.92,-12.1664,272,62.54,24.8,11.5,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,7
364631,SAN_JUAN_DE_LURIGANCHO,2019-04-11,030000,-76.9992,-11.9816,240,NA,19.6,14.6,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2019,4
288399,VILLA_MARIA_DEL_TRIUNFO,2019-11-28,190000,-76.92,-12.1664,272,NA,10.67,2.6,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2019,11
231204,SANTA_ANITA,2022-09-18,160000,-76.9714,-12.043,253,47.34,38.05,26.9,LIMA,LIMA,SANTA_ANITA,150137,20240430,2022,9
247395,VILLA_MARIA_DEL_TRIUNFO,2015-03-26,070000,-76.92,-12.1664,272,101.06,7.9,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2015,3
70817,SAN_BORJA,2023-01-29,210000,-77.0077,-12.1086,128,34.08,15.73,11.73,LIMA,LIMA,SAN_BORJA,150130,20240430,2023,1
260123,VILLA_MARIA_DEL_TRIUNFO,2016-09-06,150000,-76.92,-12.1664,272,55.15,22,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,9
83758,CAMPO_DE_MARTE,2015-03-24,020000,-77.0432,-12.0705,117,36.66,13,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,3
427812,SAN_MARTIN_DE_PORRES,2017-02-24,160000,-77.0845,-12.0089,56,81.21,20.7,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,2
429829,SAN_MARTIN_DE_PORRES,2017-05-19,170000,-77.0845,-12.0089,56,82.93,16.4,11.7,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,5
67262,SAN_BORJA,2022-09-03,180000,-77.0077,-12.1086,128,113.1,28.29,21.3,LIMA,LIMA,SAN_BORJA,150130,20240430,2022,9
425573,SAN_MARTIN_DE_PORRES,2016-11-23,090000,-77.0845,-12.0089,56,24.95,14.7,15.2,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2016,11
268908,VILLA_MARIA_DEL_TRIUNFO,2017-09-07,160000,-76.92,-12.1664,272,257.3,48.5,7.9,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,9
481111,SAN_MARTIN_DE_PORRES,2023-03-26,110000,-77.0845,-12.0089,56,13.43,10.18,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2023,3
19889,SAN_BORJA,2017-04-08,210000,-77.0077,-12.1086,128,NA,4.3,34.2,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,4
427860,SAN_MARTIN_DE_PORRES,2017-02-26,160000,-77.0845,-12.0089,56,52.97,15,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,2
564624,CARABAYLLO,2023-06-06,040000,-77.0336,-11.9022,179,27.47,26.5,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2023,6
539557,CARABAYLLO,2020-07-26,170000,-77.0336,-11.9022,179,62.41,26.2,13.6,LIMA,LIMA,CARABAYLLO,150106,20240430,2020,7
76339,SAN_BORJA,2023-09-16,230000,-77.0077,-12.1086,128,56.68,14.6,21.8,LIMA,LIMA,SAN_BORJA,150130,20240430,2023,9
170449,SANTA_ANITA,2015-10-14,050000,-76.9714,-12.043,253,54.73,26.1,NA,LIMA,LIMA,SANTA_ANITA,150137,20240430,2015,10
243036,SANTA_ANITA,2024-01-24,160000,-76.9714,-12.043,253,47.27,32.66,49.8,LIMA,LIMA,SANTA_ANITA,150137,20240430,2024,1
264117,VILLA_MARIA_DEL_TRIUNFO,2017-02-20,010000,-76.92,-12.1664,272,247,22.8,17.3,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,2
560959,CARABAYLLO,2023-01-04,110000,-77.0336,-11.9022,179,30.01,20.89,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2023,1
83632,CAMPO_DE_MARTE,2015-03-18,200000,-77.0432,-12.0705,117,32.73,13.3,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,3
540028,CARABAYLLO,2020-08-15,080000,-77.0336,-11.9022,179,68.82,23.67,15.8,LIMA,LIMA,CARABAYLLO,150106,20240430,2020,8
325069,VILLA_MARIA_DEL_TRIUNFO,2024-02-03,170000,-76.92,-12.1664,272,33.56,11.53,20.8,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2024,2
309006,VILLA_MARIA_DEL_TRIUNFO,2022-04-05,100000,-76.92,-12.1664,272,10.84,10.51,13.3,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2022,4
436235,SAN_MARTIN_DE_PORRES,2018-02-10,150000,-77.0845,-12.0089,56,62.69,17.7,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2018,2
554292,CARABAYLLO,2022-04-01,160000,-77.0336,-11.9022,179,38.88,23.5,50.5,LIMA,LIMA,CARABAYLLO,150106,20240430,2022,4
37784,SAN_BORJA,2019-04-24,120000,-77.0077,-12.1086,128,60.46,20,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2019,4
329221,SAN_JUAN_DE_LURIGANCHO,2015-03-27,170000,-76.9992,-11.9816,240,120.14,24.5,47.1,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2015,3
376530,SAN_JUAN_DE_LURIGANCHO,2020-08-18,220000,-76.9992,-11.9816,240,NA,22.24,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2020,8
349813,SAN_JUAN_DE_LURIGANCHO,2017-08-01,170000,-76.9992,-11.9816,240,64.21,19.8,42.1,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2017,8
229588,SANTA_ANITA,2022-07-13,080000,-76.9714,-12.043,253,72.19,49.2,22.4,LIMA,LIMA,SANTA_ANITA,150137,20240430,2022,7
88867,CAMPO_DE_MARTE,2015-10-22,230000,-77.0432,-12.0705,117,34.72,11.7,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,10
263529,VILLA_MARIA_DEL_TRIUNFO,2017-01-26,130000,-76.92,-12.1664,272,217.7,38.5,23,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,1
536508,CARABAYLLO,2020-03-21,160000,-77.0336,-11.9022,179,93.3,12.71,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2020,3
436245,SAN_MARTIN_DE_PORRES,2018-02-11,010000,-77.0845,-12.0089,56,128.35,12.2,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2018,2
18054,SAN_BORJA,2017-01-22,100000,-77.0077,-12.1086,128,47.32,10,8.1,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,1
23943,SAN_BORJA,2017-09-24,190000,-77.0077,-12.1086,128,37.57,8.5,19.7,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,9
414966,SAN_MARTIN_DE_PORRES,2015-09-08,100000,-77.0845,-12.0089,56,21.87,11.8,10.8,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2015,9
62255,SAN_BORJA,2022-02-07,030000,-77.0077,-12.1086,128,41.92,17.01,15,LIMA,LIMA,SAN_BORJA,150130,20240430,2022,2
117439,CAMPO_DE_MARTE,2019-01-25,110000,-77.0432,-12.0705,117,14.94,13.1,1,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,1
33775,SAN_BORJA,2018-11-08,110000,-77.0077,-12.1086,128,31.69,7.7,5.4,LIMA,LIMA,SAN_BORJA,150130,20240430,2018,11
124787,CAMPO_DE_MARTE,2019-11-27,150000,-77.0432,-12.0705,117,32.1,20.76,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,11
146100,CAMPO_DE_MARTE,2022-05-03,160000,-77.0432,-12.0705,117,54.03,26.42,23.5,LIMA,LIMA,JESUS_MARIA,150113,20240430,2022,5
89075,CAMPO_DE_MARTE,2015-10-31,150000,-77.0432,-12.0705,117,46.71,23.2,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,10
440037,SAN_MARTIN_DE_PORRES,2018-07-19,010000,-77.0845,-12.0089,56,52,20.3,56.5,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2018,7
